"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","435","Delete a book with alphanumeric ID","","Wed Aug 20 14:01:25 UTC 2025","passed","Wed Aug 20 14:01:25 UTC 2025","","bookstore.books.DeleteBookTests","bookstore.books.DeleteBookTests","deleteBookWithAlphaNumericId"
"","424","Create a new book without id","","Wed Aug 20 14:01:28 UTC 2025","passed","Wed Aug 20 14:01:29 UTC 2025","","bookstore.books.PostBookTests","bookstore.books.PostBookTests","createBookWithoutId"
"","879","Create a new author without last name","","Wed Aug 20 14:01:59 UTC 2025","passed","Wed Aug 20 14:02:00 UTC 2025","","bookstore.authors.PostAuthorTests","bookstore.authors.PostAuthorTests","createAuthorWithEmptyLastName"
"","419","Create a new author without book ID","","Wed Aug 20 14:01:56 UTC 2025","failed","Wed Aug 20 14:01:56 UTC 2025","","bookstore.authors.PostAuthorTests","bookstore.authors.PostAuthorTests","createAuthorWithoutBookID"
"","420","Delete a book with non-existing ID","","Wed Aug 20 14:01:46 UTC 2025","failed","Wed Aug 20 14:01:46 UTC 2025","","bookstore.authors.DeleteAuthorTests","bookstore.authors.DeleteAuthorTests","deleteBookWithNonExistingId"
"","433","Test getting an author by existing bookID","","Wed Aug 20 14:01:39 UTC 2025","passed","Wed Aug 20 14:01:40 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByExistingBookId"
"","766","Test getting all books","","Wed Aug 20 14:01:31 UTC 2025","passed","Wed Aug 20 14:01:32 UTC 2025","","bookstore.books.GetBookTests","bookstore.books.GetBookTests","getAllBooks"
"","453","Test getting a book by alphanumeric id","","Wed Aug 20 14:01:33 UTC 2025","passed","Wed Aug 20 14:01:33 UTC 2025","","bookstore.books.GetBookTests","bookstore.books.GetBookTests","getBookByAlphaNumericId"
"","441","Test getting a book using a special sign","","Wed Aug 20 14:01:30 UTC 2025","passed","Wed Aug 20 14:01:30 UTC 2025","","bookstore.books.GetBookTests","bookstore.books.GetBookTests","getBookBySpecialSign"
"","436","Create a new author without ID","","Wed Aug 20 14:02:01 UTC 2025","passed","Wed Aug 20 14:02:02 UTC 2025","","bookstore.authors.PostAuthorTests","bookstore.authors.PostAuthorTests","createAuthorWithoutID"
"","422","Test getting an author by alphanumeric bookID","","Wed Aug 20 14:01:37 UTC 2025","passed","Wed Aug 20 14:01:38 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByAlphaNumericBookId"
"","434","Test getting a book using an existing id but written with few more zeros upfront","","Wed Aug 20 14:01:33 UTC 2025","passed","Wed Aug 20 14:01:33 UTC 2025","","bookstore.books.GetBookTests","bookstore.books.GetBookTests","getBookByExistingIdAndExtraZeros"
"","460","Test getting an author by maximum integer ID","","Wed Aug 20 14:01:37 UTC 2025","passed","Wed Aug 20 14:01:37 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByMaxIntegerId"
"","856","Delete a book with valid data","","Wed Aug 20 14:01:48 UTC 2025","passed","Wed Aug 20 14:01:49 UTC 2025","","bookstore.authors.DeleteAuthorTests","bookstore.authors.DeleteAuthorTests","deleteBookValidData"
"","880","Update book with empty excerpt","","Wed Aug 20 14:01:20 UTC 2025","failed","Wed Aug 20 14:01:21 UTC 2025","","bookstore.books.PutBookTests","bookstore.books.PutBookTests","updateBookWithoutExcerpt"
"","432","Test getting a book using a maximum integer id","","Wed Aug 20 14:01:33 UTC 2025","passed","Wed Aug 20 14:01:34 UTC 2025","","bookstore.books.GetBookTests","bookstore.books.GetBookTests","getBookByMaxIntegerId"
"","449","Test getting an author by negative ID","","Wed Aug 20 14:01:42 UTC 2025","passed","Wed Aug 20 14:01:43 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByNegativeId"
"","432","Delete a book with special sign ID","","Wed Aug 20 14:01:47 UTC 2025","passed","Wed Aug 20 14:01:48 UTC 2025","","bookstore.authors.DeleteAuthorTests","bookstore.authors.DeleteAuthorTests","deleteBookWithSpecialSignId"
"","430","Test getting an author by non-existing bookID","","Wed Aug 20 14:01:44 UTC 2025","failed","Wed Aug 20 14:01:44 UTC 2025","","bookstore.authors.GetAuthorTests","bookstore.authors.GetAuthorTests","getAuthorByNonExistingBookId"
"","467","Create a new book without description","","Wed Aug 20 14:01:29 UTC 2025","failed","Wed Aug 20 14:01:29 UTC 2025","","bookstore.books.PostBookTests","bookstore.books.PostBookTests","createBookWithoutDescription"
"","436","Delete a book with ID with extra zeros upfront","","Wed Aug 20 14:01:21 UTC 2025","passed","Wed Aug 20 14:01:22 UTC 2025","","bookstore.books.DeleteBookTests","bookstore.books.DeleteBookTests","deleteBookWithExtraZeros"
